,V1,V2,V3,V4
1,ULYSSES , James Joyce,To Kill a Mockingbird ,Harper Lee 
2,THE GREAT GATSBY , F. Scott Fitzgerald,1984, George Orwell
3,A PORTRAIT OF THE ARTIST AS A YOUNG MAN , James Joyce,Brave New World ,Aldous Huxley 
4,LOLITA , Vladimir Nabokov,Fahrenheit 451 , Ray Bradbury
5,BRAVE NEW WORLD , Aldous Huxley,Animal Farm ,George Orwell 
6,THE SOUND AND THE FURY , William Faulkner,The Handmaid's Tale ,Margaret Atwood 
7,CATCH-22 , Joseph Heller,Lord of the Flies ,William Golding 
8,DARKNESS AT NOON , Arthur Koestler,The Great Gatsby ,F. Scott Fitzgerald 
9,SONS AND LOVERS , D.H. Lawrence,The Grapes of Wrath ,John Steinbeck 
10,THE GRAPES OF WRATH , John Steinbeck,Light in August ,William Faulkner 
11,UNDER THE VOLCANO , Malcolm Lowry,The Catcher in the Rye ,J.D. Salinger 
12,THE WAY OF ALL FLESH , Samuel Butler,Lolita ,Vladimir Nabokov 
13,1984, George Orwell,Brideshead Revisited ,Evelyn Waugh 
14,"I, CLAUDIUS ", Robert Graves,Invisible Man ,Ralph Ellison 
15,TO THE LIGHTHOUSE , Virginia Woolf,The Sound and the Fury ,William Faulkner 
16,AN AMERICAN TRAGEDY , Theodore Dreiser,A Farewell to Arms ,Ernest Hemingway 
17,THE HEART IS A LONELY HUNTER , Carson McCullers,"Absalom, Absalom! ",William Faulkner 
18,SLAUGHTERHOUSE-FIVE , Kurt Vonnegut,The Sun Also Rises ,Ernest Hemingway 
19,INVISIBLE MAN , Ralph Ellison,Catch-22 , Joseph Heller
20,NATIVE SON , Richard Wright,A Clockwork Orange ,Anthony Burgess 
21,HENDERSON THE RAIN KING , Saul Bellow,The Heart is a Lonely Hunter ,Carson McCullers 
22,APPOINTMENT IN SAMARRA , John Oâ€™Hara,On the Road ,Jack Kerouac 
23,U.S.A.(trilogy) , John Dos Passos,Ulysses ,James Joyce 
24,"WINESBURG, OHIO ", Sherwood Anderson,Slaughterhouse-Five ,Kurt Vonnegut 
25,A PASSAGE TO INDIA , E.M. Forster,"I, Claudius ", Robert Graves
26,THE WINGS OF THE DOVE , Henry James,Of Human Bondage ,W. Somerset Maugham 
27,THE AMBASSADORS , Henry James,A Portrait of the Artist as a Young Man ,James Joyce 
28,TENDER IS THE NIGHT , F. Scott Fitzgerald,Under the Volcano ,Malcolm Lowry 
29,THE STUDS LONIGAN TRILOGY , James T. Farrell,Heart of Darkness ,Joseph Conrad 
30,THE GOOD SOLDIER , Ford Madox Ford,The Lord of the Rings , J.R.R. Tolkien
31,ANIMAL FARM , George Orwell,My ÃÅntonia ,Willa Cather 
32,THE GOLDEN BOWL , Henry James,Gone with the Wind ,Margaret Mitchell 
33,SISTER CARRIE , Theodore Dreiser,Wise Blood ,Flannery O'Connor 
34,A HANDFUL OF DUST , Evelyn Waugh,A Prayer for Owen Meany ,John Irving 
35,AS I LAY DYING , William Faulkner,As I Lay Dying ,William Faulkner 
36,ALL THE KINGâ€™S MEN , Robert Penn Warren,Beloved ,Toni Morrison 
37,THE BRIDGE OF SAN LUIS REY , Thornton Wilder,The Hitchhiker's Guide to the Galaxy , Douglas Adams
38,HOWARDS END , E.M. Forster,Ender's Game , Orson Scott Card
39,GO TELL IT ON THE MOUNTAIN , James Baldwin,Dune ,Frank Herbert 
40,THE HEART OF THE MATTER , Graham Greene,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values ,Robert M. Pirsig 
41,LORD OF THE FLIES , William Golding,The World According to Garp ,John Irving 
42,DELIVERANCE , James Dickey,On the Beach ,Nevil Shute 
43,A DANCE TO THE MUSIC OF TIME (series) , Anthony Powell,To the Lighthouse ,Virginia Woolf 
44,POINT COUNTER POINT , Aldous Huxley,"Blood Meridian, or the Evening Redness in the West ",Cormac McCarthy 
45,THE SUN ALSO RISES , Ernest Hemingway,One Flew Over the Cuckoo's Nest ,Ken Kesey 
46,THE SECRET AGENT , Joseph Conrad,Arrowsmith ,Sinclair Lewis 
47,NOSTROMO , Joseph Conrad,The Call of the Wild ,Jack London 
48,THE RAINBOW , D.H. Lawrence,Shane ,Jack Schaefer 
49,WOMEN IN LOVE , D.H. Lawrence,Watership Down , Richard Adams
50,TROPIC OF CANCER , Henry Miller,A Town Like Alice ,Nevil Shute 
51,THE NAKED AND THE DEAD , Norman Mailer,The Moviegoer ,Walker Percy 
52,PORTNOYâ€™S COMPLAINT , Philip Roth,The Magus ,John Fowles 
53,PALE FIRE , Vladimir Nabokov,The Sheltering Sky ,Paul Bowles 
54,LIGHT IN AUGUST , William Faulkner,Naked Lunch ,William S. Burroughs 
55,ON THE ROAD , Jack Kerouac,The Stand ,Stephen King 
56,THE MALTESE FALCON , Dashiell Hammett,It ,Stephen King 
57,PARADEâ€™S END , Ford Madox Ford,The Moon Is a Harsh Mistress ,Robert A. Heinlein 
58,THE AGE OF INNOCENCE , Edith Wharton,The French Lieutenant's Woman ,John Fowles 
59,ZULEIKA DOBSON , Max Beerbohm,The Satanic Verses ,Salman Rushdie 
60,THE MOVIEGOER , Walker Percy,At Swim-Two-Birds ,Flann O'Brien 
61,DEATH COMES FOR THE ARCHBISHOP , Willa Cather,Stranger in a Strange Land ,Robert A. Heinlein 
62,FROM HERE TO ETERNITY , James Jones,Atlas Shrugged ,Ayn Rand 
63,THE WAPSHOT CHRONICLES , John Cheever,Fifth Business ,Robertson Davies 
64,THE CATCHER IN THE RYE , J.D. Salinger,The Fountainhead ,Ayn Rand 
65,A CLOCKWORK ORANGE , Anthony Burgess,Battlefield Earth: A Saga of the Year , L. Ron Hubbard
66,OF HUMAN BONDAGE , W. Somerset Maugham,Anthem ,Ayn Rand 
67,HEART OF DARKNESS , Joseph Conrad,We the Living ,Ayn Rand 
68,MAIN STREET , Sinclair Lewis,The Invaders Plan , L. Ron Hubbard
69,THE HOUSE OF MIRTH , Edith Wharton,Fear ,L. Ron Hubbard 
70,THE ALEXANDRIA QUARTET , Lawrence Durell,Gravity's Rainbow ,Thomas Pynchon 
71,A HIGH WIND IN JAMAICA , Richard Hughes,Trustee from the Toolroom ,Nevil Shute 
72,A HOUSE FOR MR BISWAS , V.S. Naipaul,The Worm Ouroboros ,E.R. Eddison 
73,THE DAY OF THE LOCUST , Nathanael West,Moonheart ,Charles de Lint 
74,A FAREWELL TO ARMS , Ernest Hemingway,Someplace to be FLying , Charles de Lint
75,SCOOP , Evelyn Waugh,Yarrow ,Charles de Lint 
76,THE PRIME OF MISS JEAN BRODIE , Muriel Spark,One Lonely Night ,Mickey Spillane 
77,FINNEGANS WAKE , James Joyce,Memory and Dream , Charles de Lint
78,KIM , Rudyard Kipling,Trader , Charles de Lint
79,A ROOM WITH A VIEW , E.M. Forster,Greenmantle ,Charles de Lint 
80,BRIDESHEAD REVISITED , Evelyn Waugh,The Little Country ,Charles de Lint 
81,THE ADVENTURES OF AUGIE MARCH , Saul Bellow,The Recognitions ,William Gaddis 
82,ANGLE OF REPOSE , Wallace Stegner,Starship Troopers ,Robert A. Heinlein 
83,A BEND IN THE RIVER , V.S. Naipaul,Something Wicked This Way Comes , Ray Bradbury
84,THE DEATH OF THE HEART , Elizabeth Bowen,Tropic of Cancer ,Henry Miller 
85,LORD JIM , Joseph Conrad,The Wood Wife , Terri Windling
86,RAGTIME , E.L. Doctorow,At the Mountains of Madness and Other Tales of Terror ,H.P. Lovecraft 
87,THE OLD WIVESâ€™ TALE , Arnold Bennett,The Door Into Summer ,Robert A. Heinlein really liked it 
88,THE CALL OF THE WILD , Jack London,Guilty Pleasures , Laurell K. Hamilton
89,LOVING , Henry Green,The Hunt for Read October , Tom Clancy
90,MIDNIGHTâ€™S CHILDREN , Salman Rushdie,The Puppet Master , Peter O'Donnel
91,TOBACCO ROAD , Erskine Caldwell,The Puppet Masters ,Robert A. Heinlein 
92,IRONWEED , William Kennedy,V. ,Thomas Pynchon 
93,THE MAGUS , John Fowles,Double Star ,Robert A. Heinlein 
94,WIDE SARGASSO SEA , Jean Rhys,Citizen of the Galaxy ,Robert A. Heinlein 
95,UNDER THE NET , Iris Murdoch,Sometimes a Great Notion ,Ken Kesey 
96,SOPHIEâ€™S CHOICE , William Styron,Mulengro ,Charles de Lint 
97,THE SHELTERING SKY , Paul Bowles,Suttree ,Cormac McCarthy 
98,THE POSTMAN ALWAYS RINGS TWICE , James M. Cain,Mythago Wood , Robert Holdstock
99,THE GINGER MAN , J.P. Donleavy,Illusions: The Adventures of a Reluctant Messiah ,Richard Bach 
100,THE MAGNIFICENT AMBERSONS , Booth Tarkington,The Cunning Man , Robertson Davies
