,Title (Crit),Author (Crit),Original Rank,Crit Rating (user score),Crit Total Ratings (user),Title (User),Author (User),Rating (user),Total Ratings (user)
1,ULYSSES , James Joyce,12,373,84074,To Kill a Mockingbird ,Harper Lee,425,3257546
2,THE GREAT GATSBY , F. Scott Fitzgerald,6,388,2674470,1984, George Orwell,413,1954160
3,A PORTRAIT OF THE ARTIST AS A YOUNG MAN , James Joyce,8,360,100851,Brave New World ,Aldous Huxley,396,1043231
4,LOLITA , Vladimir Nabokov,4,388,505926,Fahrenheit 451 , Ray Bradbury,397,1137128
5,BRAVE NEW WORLD , Aldous Huxley,3,396,1042656,Animal Farm ,George Orwell,386,1924377
6,THE SOUND AND THE FURY , William Faulkner,15,386,130367,The Handmaid's Tale ,Margaret Atwood,404,576711
7,CATCH-22 , Joseph Heller,9,398,566191,Lord of the Flies ,William Golding,364,1623509
8,DARKNESS AT NOON , Arthur Koestler,7,406,18781,The Great Gatsby ,F. Scott Fitzgerald,388,2675567
9,SONS AND LOVERS , D.H. Lawrence,37,361,37683,The Grapes of Wrath ,John Steinbeck,392,535454
10,THE GRAPES OF WRATH , John Steinbeck,39,392,535152,Light in August ,William Faulkner,393,43500
11,UNDER THE VOLCANO , Malcolm Lowry,40,380,17550,The Catcher in the Rye ,J.D. Salinge,379,2057916
12,THE WAY OF ALL FLESH , Samuel Butler,42,361,6529,Lolita ,Vladimir Nabokov,388,506117
13,1984, George Orwell,2,413,1952451,Brideshead Revisited ,Evelyn Waugh,399,73925
14,"I, CLAUDIUS ", Robert Graves,17,427,40837,Invisible Man ,Ralph Ellison,383,124096
15,TO THE LIGHTHOUSE , Virginia Woolf,19,376,92404,The Sound and the Fury ,William Faulkner,386,130410
16,AN AMERICAN TRAGEDY , Theodore Dreiser,48,393,26477,A Farewell to Arms ,Ernest Hemingway,378,201715
17,THE HEART IS A LONELY HUNTER , Carson McCullers,20,396,72894,"Absalom, Absalom! ",William Faulkner,396,31581
18,SLAUGHTERHOUSE-FIVE , Kurt Vonnegut,5,405,866335,The Sun Also Rises ,Ernest Hemingway,383,295021
19,INVISIBLE MAN , Ralph Ellison,11,383,124040,Catch-22 , Joseph Heller,398,566411
20,NATIVE SON , Richard Wright,53,395,68510,A Clockwork Orange ,Anthony Burgess,397,440005
21,HENDERSON THE RAIN KING , Saul Bellow,54,379,11667,The Heart is a Lonely Hunter ,Carson McCullers,396,72920
22,APPOINTMENT IN SAMARRA , John Oäó»Hara,56,383,11079,On the Road ,Jack Kerouac,364,271471
23,U.S.A.(trilogy) , John Dos Passos,59,403,1878,Ulysses ,James Joyce,373,84113
24,"WINESBURG, OHIO ", Sherwood Anderson,61,383,24022,Slaughterhouse-Five ,Kurt Vonnegut,405,866734
25,A PASSAGE TO INDIA , E.M. Forster,26,366,51069,"I, Claudius ", Robert Graves,427,40854
26,THE WINGS OF THE DOVE , Henry James,63,380,13304,Of Human Bondage ,W. Somerset Maugham,411,37532
27,THE AMBASSADORS , Henry James,65,365,9561,A Portrait of the Artist as a Young Man ,James Joyce,360,100891
28,TENDER IS THE NIGHT , F. Scott Fitzgerald,67,383,83700,Under the Volcano ,Malcolm Lowry,380,17557
29,THE STUDS LONIGAN TRILOGY , James T. Farrell,69,379,1859,Heart of Darkness ,Joseph Conrad,341,298873
30,THE GOOD SOLDIER , Ford Madox Ford,24,372,17040,The Lord of the Rings , J.R.R. Tolkien,447,424252
31,ANIMAL FARM , George Orwell,1,386,1923797,My íÅntonia ,Willa Cather,376,98797
32,THE GOLDEN BOWL , Henry James,28,378,9070,Gone with the Wind ,Margaret Mitchell,428,876297
33,SISTER CARRIE , Theodore Dreiser,29,372,29734,Wise Blood ,Flannery O'Connor,388,19679
34,A HANDFUL OF DUST , Evelyn Waugh,30,392,18634,A Prayer for Owen Meany ,John Irving,422,241804
35,AS I LAY DYING , William Faulkner,31,372,107873,As I Lay Dying ,William Faulkner,372,107911
36,ALL THE KINGäó»S MEN , Robert Penn Warren,32,408,46188,Beloved ,Toni Morrison,376,238610
37,THE BRIDGE OF SAN LUIS REY , Thornton Wilder,33,380,23061,The Hitchhiker's Guide to the Galaxy , Douglas Adams,420,984182
38,HOWARDS END , E.M. Forster,34,395,56949,Ender's Game , Orson Scott Card,429,847479
39,GO TELL IT ON THE MOUNTAIN , James Baldwin,36,399,29379,Dune ,Frank Herbert,419,509240
40,THE HEART OF THE MATTER , Graham Greene,38,398,20612,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values ,Robert M. Pirsig,375,149043
41,LORD OF THE FLIES , William Golding,13,364,1622809,The World According to Garp ,John Irving,407,176098
42,DELIVERANCE , James Dickey,18,386,25068,On the Beach ,Nevil Shute,392,26976
43,A DANCE TO THE MUSIC OF TIME (series) , Anthony Powell,41,394,3424,To the Lighthouse ,Virginia Woolf,376,92463
44,POINT COUNTER POINT , Aldous Huxley,44,384,8694,"Blood Meridian, or the Evening Redness in the West ",Cormac McCarthy,419,76806
45,THE SUN ALSO RISES , Ernest Hemingway,45,383,294900,One Flew Over the Cuckoo's Nest ,Ken Kesey,418,502596
46,THE SECRET AGENT , Joseph Conrad,46,359,13749,Arrowsmith ,Sinclair Lewis,381,5608
47,NOSTROMO , Joseph Conrad,47,381,12326,The Call of the Wild ,Jack London,382,241216
48,THE RAINBOW , D.H. Lawrence,49,367,15251,Shane ,Jack Schaefer,380,7543
49,WOMEN IN LOVE , D.H. Lawrence,50,366,24636,Watership Down , Richard Adams,405,301084
50,TROPIC OF CANCER , Henry Miller,51,371,48212,A Town Like Alice ,Nevil Shute,412,38581
51,THE NAKED AND THE DEAD , Norman Mailer,52,394,19539,The Moviegoer ,Walker Percy,370,19468
52,PORTNOYäó»S COMPLAINT , Philip Roth,21,369,40766,The Magus ,John Fowles,404,36157
53,PALE FIRE , Vladimir Nabokov,55,419,30047,The Sheltering Sky ,Paul Bowles,392,19275
54,LIGHT IN AUGUST , William Faulkner,57,393,43490,Naked Lunch ,William S. Burroughs,346,60475
55,ON THE ROAD , Jack Kerouac,22,364,271377,The Stand ,Stephen King,434,455781
56,THE MALTESE FALCON , Dashiell Hammett,58,392,65635,It ,Stephen King,417,452522
57,PARADE'S END , Ford Madox Ford,60,392,4430,The Moon Is a Harsh Mistress ,Robert A. Heinlein,417,83766
58,THE AGE OF INNOCENCE , Edith Wharton,23,393,112290,The French Lieutenant's Woman ,John Fowles,385,37733
59,ZULEIKA DOBSON , Max Beerbohm,62,355,3487,The Satanic Verses ,Salman Rushdie,371,41718
60,THE MOVIEGOER , Walker Percy,99,370,19462,At Swim-Two-Birds ,Flann O'Brien,392,9173
61,DEATH COMES FOR THE ARCHBISHOP , Willa Cather,64,387,22455,Stranger in a Strange Land ,Robert A. Heinlein,390,223998
62,FROM HERE TO ETERNITY , James Jones,66,409,13666,Atlas Shrugged ,Ayn Rand ,368,289669
63,THE WAPSHOT CHRONICLES , John Cheever,68,376,5614,Fifth Business ,Robertson Davies,404,13209
64,THE CATCHER IN THE RYE , J.D. Salinger,14,379,2057007,The Fountainhead ,Ayn Rand,385,249677
65,A CLOCKWORK ORANGE , Anthony Burgess,10,397,439753,Battlefield Earth: A Saga of the Year , L. Ron Hubbard,348,13369
66,OF HUMAN BONDAGE , W. Somerset Maugham,70,411,37521,Anthem ,Ayn Rand,362,104070
67,HEART OF DARKNESS , Joseph Conrad,25,341,298753,We the Living ,Ayn Rand,388,22121
68,MAIN STREET , Sinclair Lewis,71,375,20031,The Invaders Plan , L. Ron Hubbard,339,2522
